x [nm],y [nm],z [nm]
8091.32,5941.51,73.56
8076.50,5938.10,98.39
8083.07,5935.98,78.20
8082.89,5944.92,92.42
8089.53,5940.01,95.85
7864.36,5598.56,20.88
7837.89,5583.79,28.76
7859.00,5581.48,83.24
7851.18,5577.80,20.18
7835.71,5591.60,58.97
7865.55,5588.60,59.70
7859.99,5571.84,35.27
7869.25,5580.03,89.54
7842.28,5586.42,58.44
7843.30,5590.27,51.07
7852.73,5587.56,54.40
7851.09,5572.60,59.70
7859.80,5580.33,55.68
7846.54,5593.74,75.32
7854.77,5578.57,74.28
7843.55,5585.51,41.19
7844.54,5594.01,78.96
7865.62,5575.68,11.26
7855.92,5589.16,79.42
7824.31,5600.62,29.10
7865.22,5594.75,59.36
7847.29,5594.52,65.56
7861.68,5600.85,73.47
7861.48,5589.15,53.20
7870.99,5588.06,87.25
7863.03,5592.56,49.58
7941.64,5481.03,17.24
7965.14,5476.17,95.83
7953.57,5478.69,98.11
7967.44,5497.03,51.70
7981.64,5483.42,87.27
7969.78,5503.09,65.83
7971.63,5478.57,84.97
8090.30,5943.81,83.69
7969.56,5476.64,96.25
7954.73,5498.76,51.59
7976.15,5494.20,64.29
7957.35,5468.25,97.32
7967.79,5486.17,59.67
7965.65,5471.92,34.46
7763.56,5191.99,23.52
7756.12,5185.64,7.73
7761.78,5189.05,89.52
7768.75,5178.65,79.02
7755.17,5198.45,82.26
7744.42,5198.59,86.41
7746.26,5176.86,89.58
8163.90,5690.49,70.77
8149.83,5678.72,71.59
7762.22,5180.46,48.46
8161.71,5679.42,98.72
8166.52,5691.24,68.99
8160.80,5682.35,67.47
7972.00,5467.00,98.99
