x, y, z
26473.79,4563.28,21.04
27934.66,3898.59,22.08
26472.53,4581.75,33.37
27954.23,3914.57,-138.50
26421.71,4387.11,21.16
26410.27,4341.83,-43.19
26768.87,2798.26,74.67
26683.90,2848.85,37.70
26517.58,4556.90,48.93
26492.46,4468.88,-10.62
26414.72,2878.23,84.59
26806.51,3005.32,119.30
26973.43,2827.17,108.70
26948.54,2824.54,-49.55
26989.59,4021.91,59.81
27019.88,3994.97,114.51
27320.73,4713.91,-92.55
26855.17,4063.18,64.74
26729.92,3023.26,323.36
26833.37,4063.27,81.80
26771.92,2986.62,212.59
26175.09,4282.13,54.29
27834.07,4278.09,-56.72
26483.66,4342.70,-115.72
27093.76,2738.73,40.73
27838.74,4361.33,80.05
27866.70,4318.69,262.51
27514.64,4334.04,187.14
27788.28,4389.53,-264.21
27700.77,4490.08,323.84
27651.48,4498.53,98.83
27935.04,3971.66,-112.86
27919.07,3974.52,-126.75
26826.22,2861.18,256.64
26752.90,4672.39,-220.61
26802.54,4770.83,-136.87
26690.05,2854.43,50.63
26313.80,3001.65,60.11
26710.34,4399.76,74.31
27955.98,4244.34,-163.14
26337.03,4427.48,158.71
26776.00,2826.17,26.91
26790.90,2797.72,-38.67
26398.54,2886.54,154.58
26395.20,2883.46,244.00
27691.53,2976.10,31.65
26564.86,2812.35,11.43
27623.64,4526.98,66.79
26561.71,2790.30,24.64
26559.22,2807.45,24.84
27631.87,4526.63,48.40
27999.78,3711.33,251.89
27559.62,4595.36,-97.89
27092.49,2691.47,17.64
27900.20,3801.58,12.02
27689.02,4467.68,47.13
26649.77,4567.04,139.96
26742.74,2832.75,177.53
26683.09,2858.08,241.54
26496.52,4606.34,45.36
26457.38,4627.74,43.37
26992.89,2574.81,34.24
27937.29,3748.86,-107.39
26795.59,2989.20,55.46
26743.59,4470.67,-124.65
26677.05,4548.44,114.41
26481.28,4613.20,-138.48
26586.29,4500.33,-226.29
26415.23,4537.63,-0.16
26426.97,4533.98,-0.38
27926.24,4241.28,245.42
27736.09,4379.24,74.30
27163.35,4739.41,-234.33
26419.95,4607.23,62.45
26342.43,4570.25,37.47
27862.97,4052.95,100.87
27588.74,2989.69,-271.17
26874.01,4701.95,-12.85
26432.06,4482.77,-156.26
27903.38,3789.87,-57.15
27816.52,4338.12,85.36
27848.30,4337.78,116.30
27930.93,4248.64,-158.98
26299.66,3932.11,-201.05
27932.79,3909.07,-45.58
26120.70,3095.35,34.42
27874.03,4355.00,-131.38
25974.35,3994.29,-7.43
25970.32,3980.60,32.50
25943.55,3961.11,-38.77
27712.22,4416.40,101.62
27079.70,2670.73,394.52
26837.65,4408.96,145.14
26438.84,4393.85,37.12
27941.72,4218.16,196.16
26854.55,4047.32,90.43
27898.31,4348.80,76.05
26456.16,2806.00,-9.44
26470.62,2815.90,39.57
26228.72,3073.83,89.06
26867.42,2715.58,-127.67
26865.96,2798.49,1.16
26208.79,3124.41,202.00
26250.97,2949.31,233.22
26977.52,4019.96,68.54
26604.39,4595.06,-249.09
27170.35,2871.56,186.60
26101.93,3100.77,64.64
26563.74,4537.06,204.31
