x, y, z
26202.85,3039.72,48.99
26203.50,3048.89,125.85
26210.20,3022.23,54.61
26190.92,3036.97,91.30
26187.10,3037.84,-3.50
26187.73,3042.50,129.77
26182.23,3039.16,-129.70
26175.73,3042.95,73.22
26202.68,3016.37,64.15
26182.51,3044.61,13.74
26189.55,3040.67,30.99
26202.64,3036.68,111.69
26184.29,3050.06,78.34
26169.21,3051.41,168.30
26188.86,3034.70,-87.48
26222.53,3024.84,195.89
26192.11,3032.38,32.41
26153.37,3033.62,-149.41
26194.83,3030.51,191.25
26155.56,3051.42,204.81
26205.82,3056.30,60.62
26197.52,3061.18,96.51
26196.34,3023.41,168.25
26212.35,3055.76,93.52
26217.96,3034.55,153.39
26205.00,3050.65,38.23
26223.71,3025.13,51.14
27317.13,4521.69,311.81
26205.03,3044.34,47.34
26192.71,3050.86,115.70
26200.40,3037.19,63.00
26170.57,3049.67,85.89
26179.37,3050.00,124.12
26197.14,3049.59,95.62
26203.90,3046.43,138.95
26221.52,3053.41,86.66
26192.07,3046.33,108.68
26197.31,3040.58,31.76
26234.77,3038.03,113.92
26217.65,3045.20,69.67
26194.49,3034.85,-99.63
26196.06,3054.38,102.25
26195.56,3057.68,67.03
26191.45,3038.24,32.26
26195.66,3054.35,106.83
26182.50,3041.57,83.65
26210.87,3047.89,129.01
26179.13,3043.82,9.66
26181.89,3024.78,-34.06
26206.62,3034.46,14.08
26194.45,3051.97,97.63
26199.79,3038.32,-16.67
26189.00,3044.36,72.80
26193.90,3062.08,48.86
26197.45,3044.30,-31.53
26208.11,3056.59,-3.30
26200.43,3024.46,183.07
26208.81,3057.31,156.25
26186.94,3038.89,30.53
26187.36,3032.45,-0.49
26187.18,3032.81,205.59
26208.98,3038.45,76.48
27279.69,4509.01,362.44
26195.84,3035.98,-102.93
26222.85,3044.80,-133.12
26185.70,3035.24,24.59
26205.10,3053.51,45.77
26206.45,3050.62,65.13
26176.12,3052.73,77.23
26190.82,3053.00,50.16
26212.29,3033.36,86.31
26207.75,3047.78,87.65
26197.18,3038.81,218.54
26183.71,3044.83,158.74
26193.09,3050.61,72.98
26204.49,3043.93,27.15
26191.73,3035.31,129.85
26204.65,3040.20,269.81
26196.25,3041.27,95.63
26195.28,3036.27,90.89
26198.68,3029.16,224.20
26209.51,3029.15,71.43
26206.30,3044.62,138.62
26167.53,3023.41,147.73
