x [nm],y [nm],z [nm]
8091.32,5941.51,73.56
8425.33,5810.97,24.72
7477.05,5634.83,23.47
7787.49,5068.27,69.87
8234.66,5195.11,50.41
8452.19,5972.89,57.59
8097.79,6087.31,50.31
7831.36,5174.51,74.47
7813.40,5180.02,76.24
8076.50,5938.10,98.39
8083.07,5935.98,78.20
8082.89,5944.92,92.42
8424.10,5855.18,50.75
8070.43,6115.50,77.16
8118.03,5881.32,63.66
8089.53,5940.01,95.85
8387.34,5852.40,60.52
7958.41,5373.89,66.11
7968.04,5320.27,97.73
8431.67,5944.39,43.23
7654.40,5332.08,16.38
8206.27,5709.27,79.77
8341.30,5533.53,66.60
7788.63,5243.65,32.37
7781.30,5343.63,23.16
7763.69,5231.05,66.91
7796.83,5265.60,43.21
7804.22,5267.72,8.58
7837.83,5239.48,17.24
7824.67,5279.03,44.49
8148.35,5422.52,86.32
8099.49,5408.60,64.99
8172.08,5411.82,80.55
8125.86,5426.47,98.09
7912.28,5649.75,96.52
7862.70,5403.36,86.05
8332.79,5813.53,6.00
8452.63,5582.19,17.41
7841.93,5459.12,21.81
7842.25,5460.12,46.63
7839.47,5441.98,52.17
7909.08,5377.62,80.41
7883.36,5426.58,77.17
7866.83,5390.52,34.75
7836.33,5442.74,58.74
8132.29,5470.69,52.65
7845.82,5457.62,46.91
8119.49,5438.05,55.29
7831.39,5500.77,38.64
7824.97,5495.35,31.61
7822.60,5483.67,68.11
7826.79,5450.64,66.77
8335.45,4914.70,94.52
7864.36,5598.56,20.88
7837.89,5583.79,28.76
7859.00,5581.48,83.24
7851.18,5577.80,20.18
7835.71,5591.60,58.97
7865.55,5588.60,59.70
7859.99,5571.84,35.27
7869.25,5580.03,89.54
7842.28,5586.42,58.44
7843.30,5590.27,51.07
7852.73,5587.56,54.40
7851.09,5572.60,59.70
7859.80,5580.33,55.68
7846.54,5593.74,75.32
8067.90,5408.42,78.54
7854.77,5578.57,74.28
7843.55,5585.51,41.19
7844.54,5594.01,78.96
7865.62,5575.68,11.26
7855.92,5589.16,79.42
7824.31,5600.62,29.10
8121.81,5854.86,63.89
8171.56,5796.14,51.89
7865.22,5594.75,59.36
7844.53,5614.45,76.71
7847.29,5594.52,65.56
7861.68,5600.85,73.47
7861.48,5589.15,53.20
7870.99,5588.06,87.25
7863.03,5592.56,49.58
8473.47,4957.59,52.22
